ra,dec,searchString,canonicalName,radius,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
333.697327,-17.5319,333.697327 -17.531900,Equatorial Coord 333.697327  -17.531900  J2000,0.000833333,PSO J333.6973-17.5319,-999,-999,-999,86963336973452074,3565211000108278,479923940732721,0,12745562965952,8696,1,960,67,0.664437889740279,3565211,111741,3,1343750144,160,333.69734473,-17.53189673,0.0010000000474974513,0.0010000000474974513,333.69734473,-17.53189673,0.0010000000474974513,0.0010000000474974513,56074.28282407,-999.0,0.8548245165777933,-0.42252988355680265,-0.3012366899283962,329.3034191058315,-6.217703293654073,39.471614808460714,-52.69004142580284,-999,1,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,1.7219764758946778e-05
333.856049,-17.245159,333.856049 -17.245159,Equatorial Coord 333.856049  -17.245159  J2000,0.000833333,PSO J333.8552-17.2449,-999,-999,-999,87303338552336479,3565252000128230,479941120621647,0,12736880154531,8730,1,960,67,0.733183157381772,3565252,111745,3,1343750144,160,333.85523329,-17.24489136,0.0010000000474974513,0.0010000000474974513,333.85523329,-17.24489136,0.0010000000474974513,0.0010000000474974513,56035.01491898,-999.0,0.8573294406394177,-0.4208322946471435,-0.29645642174681086,329.54844669284864,-6.003889506896384,40.0041153182242,-52.72124344143662,-999,1,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0008237323519713683
333.856049,-17.245159,333.856049 -17.245159,Equatorial Coord 333.856049  -17.245159  J2000,0.000833333,PSO J333.8556-17.2450,-999,-999,-999,87303338555636239,3565252000128236,479941120621653,0,12736880154621,8730,1,960,67,0.708891697888162,3565252,111745,3,404226048,48,333.85562608,-17.24504445,0.0010000000474974513,0.0010000000474974513,333.85562608,-17.24504445,0.0010000000474974513,0.0010000000474974513,56084.09980324,-999.0,0.8573316145572756,-0.4208260682013103,-0.2964589735576264,329.5487434724515,-6.0041670793454,40.0041172229307,-52.72164860759886,-999,2,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.0004198370840924327
333.856049,-17.245159,333.856049 -17.245159,Equatorial Coord 333.856049  -17.245159  J2000,0.000833333,PSO J333.8561-17.2451,-999,-999,-999,87303338560866211,3565252000096639,479941120588161,0,12736880154427,8730,1,960,67,0.608340561025162,3565252,111745,3,302067712,36,-999.0,-999.0,-999.0,-999.0,333.85614286,-17.24514681,0.18921999633312225,0.18921999633312225,56094.60684028,-999.0,0.857334934723532,-0.4208181021014981,-0.29646067976426516,329.5491696961091,-6.004439822216227,40.004270970105985,-52.72214398196361,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9983770251274109,20.817399978637695,0.18862000107765198,-999.0,1,20.817399978637695,20.817399978637695,20.568300247192383,0.3068639934062958,-999.0,1,20.569700241088867,0.18862000107765198,-999.0,1,280,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,9.04655738639548e-05
333.856049,-17.245159,333.856049 -17.245159,Equatorial Coord 333.856049  -17.245159  J2000,0.000833333,PSO J333.8565-17.2451,-999,-999,-999,87303338565126197,3565252000128251,479941120621668,0,12736880154247,8730,1,960,67,0.728543037295847,3565252,111745,3,1343750144,160,333.85651237,-17.24513021,0.0010000000474974513,0.0010000000474974513,333.85651237,-17.24513021,0.0010000000474974513,0.0010000000474974513,55980.71178241,-999.0,0.8573377257361672,-0.4208126108430893,-0.2964604030641516,329.5495068728873,-6.004551037857589,40.00451800130354,-52.72246402330544,-999,1,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.0004434747322627918
215.277252,52.750507,215.277252 52.750507,Equatorial Coord 215.277252  +52.750507  J2000,0.000833333,PSO J215.2777+52.7506,-999,-999,-999,171302152777371313,3499117000111758,307871845826360,0,15154743919437,17130,1,2382,16,0.807426649897757,3499117,71682,3,404226048,48,215.27773927,52.75055285,0.0010000000474974513,0.0010000000474974513,215.27773927,52.75055285,0.0010000000474974513,0.0010000000474974513,56044.99765046,-999.0,-0.4941327643328214,-0.34957735206598306,0.7960078430111981,180.47507006893133,60.38630045854651,95.94503049634959,59.42363778811243,-999,2,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.00029848057676055994
215.277252,52.750507,215.277252 52.750507,Equatorial Coord 215.277252  +52.750507  J2000,0.000833333,PSO J215.2781+52.7511,-999,-999,-999,171302152781002083,3499117000080580,307871845792453,0,15154743919454,17130,1,2382,16,0.301247758140087,3499117,71682,3,268959744,32,-999.0,-999.0,-999.0,-999.0,215.27814184,52.75113871,0.20081999897956848,0.20081999897956848,55692.32965278,-999.0,-0.49412366349864617,-0.3495761230625434,0.7960140321346341,180.47466263120464,60.386902182011845,95.94544215231303,59.42303882604113,-999,0,1,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6172230243682861,21.553199768066406,0.20025500655174255,-999.0,1,21.553199768066406,21.553199768066406,20.77989959716797,0.08516000211238861,-999.0,1,23.36680030822754,0.20025500655174255,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0008301520771990643
215.277252,52.750507,215.277252 52.750507,Equatorial Coord 215.277252  +52.750507  J2000,0.000833333,PSO J215.2784+52.7503,-999,-999,-999,171302152783751084,3499117000080605,307871845792478,0,15154743889992,17130,1,2382,16,0.948019210200775,3499117,71682,3,302067712,36,-999.0,-999.0,-999.0,-999.0,215.27844541,52.7503118,0.18640999495983124,0.18640999495983124,56043.45853009,-999.0,-0.49413118982496324,-0.34958537611735474,0.7960052964943473,180.47604260333793,60.38639964089021,95.94408846779264,59.4235321433081,-999,0,1,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.999114990234375,21.48979949951172,0.18580399453639984,-999.0,1,21.48979949951172,21.48979949951172,-999.0,-999.0,-999.0,1,21.150299072265625,0.18580399453639984,-999.0,1,280,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0007482665534262932
333.875488,-18.215502,333.875488 -18.215502,Equatorial Coord 333.875488  -18.215502  J2000,0.000833333,PSO J333.8758-18.2156,-999,-999,-999,86143338758011609,3565326000081594,479906760834745,0,12731375388112,8614,1,960,47,0.685764956926708,3565326,111737,3,268959744,32,-999.0,-999.0,-999.0,-999.0,333.87580082,-18.21561199,0.329010009765625,0.329010009765625,56093.61886574,-999.0,0.8528480647718685,-0.41825270135395803,-0.31259375589572425,329.21573903809946,-6.916792405842736,38.52127836584027,-53.099468489706396,-999,0,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.5636289715766907,20.44059944152832,0.32867100834846497,-999.0,1,20.44059944152832,20.44059944152832,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,4120,0.0003168472642552594
150.43425,2.713314,150.434250 2.713314,Equatorial Coord 150.434250  +2.713314  J2000,0.000833333,PSO J150.4337+02.7136,-999,-999,-999,111251504336886718,3562260000031475,59377922898675,0,15559832611765,11125,1,1360,68,0.409228324339938,3562260,13825,3,444915712,53,150.43370905,2.71361656,0.0010000000474974513,0.0010000000474974513,150.4336644,2.71362396,0.025690000504255295,0.028839999809861183,56014.7340625,2.0596001148223877,-0.8688096600074952,0.492877594679467,0.04734396836603116,151.5349744941335,-8.778686048979157,236.50776711460435,42.67176218635283,-999,4,39,1,7,16,13,2,0.9990350008010864,22.80769920349121,0.1815209984779358,-999.0,1,22.80769920349121,22.80769920349121,22.869600296020508,0.24244600534439087,-999.0,1,22.550500869750977,0.1815209984779358,-999.0,1,16696,0.998494029045105,22.262100219726562,0.03840399906039238,0.14579300582408905,7,22.14240074157715,22.54560089111328,22.211299896240234,0.08703900128602982,0.3436700105667114,7,22.085399627685547,0.07375200092792511,0.24028900265693665,7,115000,0.9995520114898682,20.96299934387207,0.03262700140476227,0.1589049994945526,14,20.70490074157715,21.21780014038086,20.494800567626953,0.06799200177192688,0.25701799988746643,14,20.482999801635742,0.05413699895143509,0.21554400026798248,14,16892216,0.9991679787635803,20.42690086364746,0.06815800070762634,0.22244000434875488,13,20.166000366210938,20.83099937438965,20.195199966430664,0.051329001784324646,0.2462259978055954,13,20.099899291992188,0.07652299851179123,0.2860740125179291,13,16892216,0.9984909892082214,20.249399185180664,0.11740099638700485,0.16688400506973267,2,20.120100021362305,20.354900360107422,20.023000717163086,0.17673300206661224,0.26894301176071167,2,19.830699920654297,0.08228799700737,0.11693599820137024,2,115000,0.0006619924427928443
215.283203,52.974792,215.283203 52.974792,Equatorial Coord 215.283203  +52.974792  J2000,0.000833333,PSO J215.2832+52.9747,-999,-999,-999,171572152831640384,3499117000080897,307871845792770,0,15154752777869,17157,1,2382,26,0.873891242662343,3499117,71682,3,436527104,52,215.28319918,52.97474371,0.0010000000474974513,0.0010000000474974513,215.28324056,52.97474514,0.08703000098466873,0.10666000097990036,56331.60385417,1.4297000169754028,-0.491552875926431,-0.3478230169635415,0.7983701641712538,180.18043145351865,60.55714083960659,96.2328072314243,59.25411925483344,-999,4,7,0,0,1,5,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.9983829855918884,21.564300537109375,0.16476599872112274,-999.0,1,21.564300537109375,21.564300537109375,21.440900802612305,0.2864840030670166,-999.0,1,21.42530059814453,0.16476599872112274,-999.0,1,115000,0.9984350204467773,21.003400802612305,0.08621600270271301,0.18501700460910797,5,20.883800506591797,21.23430061340332,20.875999450683594,0.062442000955343246,0.26813599467277527,5,20.8075008392334,0.09480900317430496,0.24576100707054138,5,115000,0.9984859824180603,20.52750015258789,0.17240500450134277,-999.0,1,20.52750015258789,20.52750015258789,19.87459945678711,0.21401700377464294,-999.0,1,19.937599182128906,0.17240500450134277,-999.0,1,16892216,5.203273459171079e-05
36.273563,-4.220818,36.273563 -4.220818,Equatorial Coord 36.273563  -4.220818  J2000,0.000833333,PSO J036.2735-04.2213,-999,-999,-999,102930362733444804,3506026000004641,363968413569568,0,8939307901203,10293,1,1152,95,0.228806071196502,3506026,84743,3,302067712,36,-999.0,-999.0,-999.0,-999.0,36.27345687,-4.22133978,0.18644000589847565,0.18644000589847565,55854.41322917,-999.0,0.8040153327214449,0.5900347154746604,-0.07360964124053881,32.492485994447385,-17.5920636637602,171.33643379376875,-58.000597755637095,-999,0,1,1,0,0,0,0,0.9969429969787598,21.521699905395508,0.18583600223064423,-999.0,1,21.521699905395508,21.521699905395508,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,272,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0005324067265696199
36.273563,-4.220818,36.273563 -4.220818,Equatorial Coord 36.273563  -4.220818  J2000,0.000833333,PSO J036.2741-04.2213,-999,-999,-999,102930362740224851,3506026000004780,363968413569707,0,8939307901346,10293,1,1152,95,0.477800635134616,3506026,84743,3,302067712,36,-999.0,-999.0,-999.0,-999.0,36.27412713,-4.22129805,0.08620999753475189,0.08620999753475189,55854.41322917,-999.0,0.8040084735178394,0.5900441527209304,-0.07360891489047554,32.49316108520579,-17.592249244141538,171.33732062075921,-58.00012056572714,-999,0,1,1,0,0,0,0,0.9973090291023254,20.67329978942871,0.0848969966173172,-999.0,1,20.67329978942871,20.67329978942871,21.00909996032715,0.14375799894332886,-999.0,1,20.946800231933594,0.0848969966173172,-999.0,1,272,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0007395718556985008
334.172272,-17.595461,334.172272 -17.595461,Equatorial Coord 334.172272  -17.595461  J2000,0.000833333,PSO J334.1723-17.5958,-999,-999,-999,86883341722945346,3565676000027522,479928235617155,0,12736767345026,8688,1,960,66,0.131773996289609,3565676,111742,3,436527104,52,334.1722404,-17.59582392,0.0010000000474974513,0.0010000000474974513,334.1723086,-17.59584735,0.029430000111460686,0.029489999637007713,56152.84931713,1.1246000528335571,0.8579945708170863,-0.41528248174909044,-0.30230080516055596,329.705424555219,-6.440172731651276,39.65442887024694,-53.13386964280644,-999,8,23,0,0,17,6,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.9996880292892456,21.277599334716797,0.05418999865651131,0.2552039921283722,17,20.67840003967285,21.75979995727539,20.902999877929688,0.07230299711227417,0.3146519958972931,17,20.853500366210938,0.0700170025229454,0.2576110064983368,17,16892216,0.9989780187606812,20.82270050048828,0.07637300342321396,0.18254199624061584,6,20.51180076599121,21.02750015258789,20.587099075317383,0.06682900339365005,0.14402100443840027,6,20.47920036315918,0.05639300122857094,0.1408659964799881,6,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.00038792198748117837
214.857346,53.163692,214.857346 53.163692,Equatorial Coord 214.857346  +53.163692  J2000,0.000833333,PSO J214.8576+53.1639,-999,-999,-999,171792148576857284,3499057000033741,307889025614796,0,15154731307597,17179,1,2382,26,0.660881752763765,3499057,71686,3,268513280,32,-999.0,-999.0,-999.0,-999.0,214.85764817,53.1638657,0.019740000367164612,0.019740000367164612,56848.24777778,-999.0,-0.4919578169260719,-0.3426541892895012,0.8003534300093229,179.5361029206823,60.52959415857805,96.8530935412188,59.280115560701574,-999,0,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9976750016212463,15.56779956817627,0.012829000130295753,-999.0,1,15.56779956817627,15.56779956817627,16.00079917907715,0.02634499967098236,-999.0,1,15.839799880981445,0.012829000130295753,-999.0,1,16,0.00025097926961357
